val_loss,eff,pur,current_lr,epoch,step,train_loss
0.046650491654872894,1.0,1.0,0.00019999999494757503,0,70,
,,,,0,70,0.16336438059806824
0.01917075179517269,1.0,1.0,0.00039999998989515007,1,141,
,,,,1,141,0.029495706781744957
0.00805652979761362,1.0,1.0,0.0005999999702908099,2,212,
,,,,2,212,0.012549876235425472
0.0036393350455909967,1.0,1.0,0.0007999999797903001,3,283,
,,,,3,283,0.005450868047773838
0.001818068791180849,1.0,1.0,0.0010000000474974513,4,354,
,,,,4,354,0.0025838275905698538
0.0009988286765292287,1.0,1.0,0.0011999999405816197,5,425,
,,,,5,425,0.0013516247272491455
0.0005948105826973915,1.0,1.0,0.00139999995008111,6,496,
,,,,6,496,0.0007724445313215256
0.00037827494088560343,1.0,1.0,0.001120000029914081,7,567,
,,,,7,567,0.00047510076547041535
0.0002537953550927341,1.0,1.0,0.0017999998526647687,8,638,
,,,,8,638,0.0003102287300862372
0.00017795665189623833,1.0,1.0,0.0020000000949949026,9,709,
,,,,9,709,0.00021271334844641387
0.00013291393406689167,1.0,1.0,0.0020000000949949026,10,780,
,,,,10,780,0.0001538982760393992
0.00010387330257799476,1.0,1.0,0.0020000000949949026,11,851,
,,,,11,851,0.00011755536252167076
8.387688285438344e-05,1.0,1.0,0.0020000000949949026,12,922,
,,,,12,922,9.3363894848153e-05
6.949780799914151e-05,1.0,1.0,0.0020000000949949026,13,993,
,,,,13,993,7.636464579263702e-05
5.8784215070772916e-05,1.0,1.0,0.0020000000949949026,14,1064,
,,,,14,1064,6.394217780325562e-05
5.0588801968842745e-05,1.0,1.0,0.00139999995008111,15,1135,
,,,,15,1135,5.45316215720959e-05
4.592485129251145e-05,1.0,1.0,0.00139999995008111,16,1206,
,,,,16,1206,4.8188550863415e-05
4.1931427404051647e-05,1.0,1.0,0.00139999995008111,17,1277,
,,,,17,1277,4.3887001083930954e-05
3.848932828987017e-05,1.0,1.0,0.00139999995008111,18,1348,
,,,,18,1348,4.0164708480006084e-05
3.5524051781976596e-05,1.0,1.0,0.00139999995008111,19,1419,
,,,,19,1419,3.694784390972927e-05
3.290149834356271e-05,1.0,1.0,0.00139999995008111,20,1490,
,,,,20,1490,3.4143959055654705e-05
3.056204877793789e-05,1.0,1.0,0.00139999995008111,21,1561,
,,,,21,1561,3.169096089550294e-05
2.8550421120598912e-05,1.0,1.0,0.00139999995008111,22,1632,
,,,,22,1632,2.9509943487937562e-05
2.6717605578596704e-05,1.0,1.0,0.0009800000116229057,23,1703,
,,,,23,1703,2.7602616682997905e-05
2.5555329557391815e-05,1.0,1.0,0.0009800000116229057,24,1774,
,,,,24,1774,2.6121799237444066e-05
2.449736166454386e-05,1.0,1.0,0.0009800000116229057,25,1845,
,,,,25,1845,2.5017014195327647e-05
2.3498992959503084e-05,1.0,1.0,0.0009800000116229057,26,1916,
,,,,26,1916,2.398108881607186e-05
2.25900330406148e-05,1.0,1.0,0.0009800000116229057,27,1987,
,,,,27,1987,2.3024060283205472e-05
2.1695972463930957e-05,1.0,1.0,0.0009800000116229057,28,2058,
,,,,28,2058,2.2117403204902075e-05
2.0921121176797897e-05,1.0,1.0,0.0009800000116229057,29,2129,
,,,,29,2129,2.1293013560352847e-05
