hit_id,r,phi,z,layer_id,particle_id
1,3.1,-2.7112903225806453,-7.640000000000001,1,251
2,5.05,-2.723762376237624,-12.48,2,251
3,8.85,-2.7480225988700564,-21.84,3,251
4,12.25,-2.7702040816326527,-30.28,4,251
5,29.9,-2.8861337792642137,-74.28,5,251
6,37.1,-2.9338975741239888,-92.48,6,251
7,44.3,-2.982636568848758,-110.88,7,251
8,51.4,-3.0311595330739296,-129.32,8,251
9,3.1,1.6403225806451613,16.04,1,468
10,5.05,1.6435643564356437,26.12,2,468
11,8.85,1.6508474576271186,45.76,3,468
12,12.25,1.6575510204081632,63.32,4,468
13,29.9,1.6912441471571906,154.64000000000001,5,468
14,37.1,1.7050404312668461,191.92000000000002,6,468
15,44.3,1.7188803611738148,229.24,7,468
16,51.4,1.7324785992217897,266.12,8,468
17,3.1,-0.3596774193548387,-12.88,1,570
18,5.05,-0.3435643564356436,-21.,2,570
19,8.85,-0.3112994350282486,-36.800000000000004,3,570
20,12.25,-0.28244897959183674,-51.,4,570
21,29.9,-0.13133779264214046,-125.60000000000001,5,570
22,37.1,-0.06845822102425875,-156.8,6,570
23,44.3,-0.003683972911963882,-188.64000000000001,7,570
24,51.4,0.06151750972762646,-220.88,8,570
25,3.1,2.085483870967742,-1.32,1,575
26,5.05,2.0445544554455446,-2.16,2,575
27,8.85,1.9632768361581923,-3.8000000000000003,3,575
28,12.25,1.8897959183673467,-5.32,4,575
29,29.9,1.4696187290969898,-13.88,5,575
30,37.1,1.2536010781671156,-18.240000000000002,6,575
31,3.1,-2.3838709677419354,-3.04,1,576
32,5.05,-2.3623762376237623,-4.92,2,576
33,8.85,-2.3225988700564972,-8.64,3,576
34,12.25,-2.286530612244898,-12.,4,576
35,29.9,-2.0956053511705686,-29.68,5,576
36,37.1,-2.0148894878706196,-37.2,6,576
37,44.3,-1.9308623024830698,-45.,7,576
38,51.4,-1.844136186770428,-53.04,8,576
39,3.1,-1.9629032258064516,1.56,1,578
40,5.05,-2.001980198019802,2.56,2,578
41,8.85,-2.0768361581920907,4.5200000000000005,3,578
42,12.25,-2.1444897959183673,6.28,4,578
43,29.9,-2.52657525083612,16.240000000000002,5,578
44,37.1,-2.713309973045822,21.12,6,578
45,44.3,-2.949787810383747,27.240000000000002,7,578
46,3.1,1.096774193548387,2.68,1,579
47,5.05,1.117821782178218,4.36,2,579
48,8.85,1.1581920903954803,7.640000000000001,3,579
49,12.25,1.1942857142857142,10.56,4,579
50,29.9,1.3847892976588627,26.16,5,579
51,37.1,1.466032345013477,32.8,6,579
52,44.3,1.5498013544018057,39.68,7,579
53,51.4,1.6365642023346303,46.76,8,579
54,3.1,-2.379032258064516,5.,1,583
55,5.05,-2.369306930693069,8.16,2,583
56,8.85,-2.352542372881356,14.280000000000001,3,583
57,12.25,-2.3371428571428567,19.76,4,583
58,29.9,-2.257190635451505,48.4,5,583
59,37.1,-2.224296495956873,60.120000000000005,6,583
60,44.3,-2.1913498871331827,71.96000000000001,7,583
61,51.4,-2.158603112840467,83.68,8,583
62,3.1,-0.35161290322580646,-15.040000000000001,1,630
63,5.05,-0.3435643564356436,-24.52,2,630
64,8.85,-0.32598870056497176,-43.,3,630
65,12.25,-0.30979591836734693,-59.52,4,630
66,29.9,-0.2277658862876254,-145.72,5,630
67,37.1,-0.1941940700808625,-181.12,6,630
68,44.3,-0.16002257336343115,-216.72,7,630
69,51.4,-0.12640856031128403,-252.12,8,630
70,3.1,-2.541935483870968,-8.44,1,631
71,5.05,-2.5514851485148515,-13.72,2,631
72,8.85,-2.572316384180791,-24.04,3,631
73,12.25,-2.590204081632653,-33.32,4,631
74,29.9,-2.6847491638795984,-81.60000000000001,5,631
75,37.1,-2.7236657681940697,-101.48,6,631
76,44.3,-2.76282618510158,-121.52,7,631
77,51.4,-2.801824902723735,-141.48,8,631
78,3.1,-2.1919354838709677,-0.28,1,634
79,5.05,-2.1851485148514853,-0.48,2,634
80,8.85,-2.1728813559322036,-0.84,3,634
81,12.25,-2.1612244897959183,-1.12,4,634
82,29.9,-2.1028829431438125,-2.7600000000000002,5,634
83,37.1,-2.0789487870619943,-3.44,6,634
84,44.3,-2.054966139954853,-4.12,7,634
85,51.4,-2.03120233463035,-4.8,8,634
86,3.1,-2.0693548387096774,1.24,1,640
87,5.05,-2.089108910891089,2.04,2,640
88,8.85,-2.127683615819209,3.6,3,640
89,12.25,-2.1620408163265306,4.96,4,640
90,29.9,-2.3429297658862875,12.280000000000001,5,640
91,37.1,-2.41977358490566,15.36,6,640
92,44.3,-2.4985778781038372,18.56,7,640
93,51.4,-2.5798988326848247,21.84,8,640
94,3.1,1.7580645161290323,18.48,1,650
95,5.05,1.7207920792079208,30.12,2,650
96,8.85,1.6463276836158192,52.92,3,650
97,12.25,1.5791836734693876,73.60000000000001,4,650
98,29.9,1.2010301003344481,189.8,5,650
99,37.1,1.016975741239892,246.4,6,650
100,44.3,0.7870654627539503,317.,7,650
101,3.1,2.4080645161290324,13.72,1,655
102,5.05,2.389108910891089,22.400000000000002,2,655
103,8.85,2.352542372881356,39.28,3,655
104,12.25,2.3195918367346935,54.4,4,655
105,29.9,2.145638795986622,134.4,5,655
106,37.1,2.072167115902965,168.12,6,655
107,44.3,1.9966365688487582,202.84,7,655
108,51.4,1.9194124513618676,238.32,8,655
109,3.1,2.629032258064516,1.6,1,669
110,5.05,2.61980198019802,2.6,2,669
111,8.85,2.6,4.5600000000000005,3,669
112,12.25,2.5820408163265305,6.28,4,669
113,29.9,2.489277591973244,15.44,5,669
114,37.1,2.451207547169811,19.2,6,669
115,44.3,2.4126185101580133,22.96,7,669
116,51.4,2.3742451361867705,26.76,8,669
117,3.1,-0.3032258064516129,-5.76,1,674
118,5.05,-0.29306930693069305,-9.4,2,674
119,8.85,-0.2706214689265537,-16.48,3,674
120,12.25,-0.2514285714285714,-22.84,4,674
121,29.9,-0.14907692307692308,-55.96,5,674
122,37.1,-0.1071320754716981,-69.64,6,674
123,44.3,-0.06446952595936793,-83.44,7,674
124,51.4,-0.02209338521400778,-97.2,8,674
125,3.1,-2.2661290322580645,-4.28,1,676
126,5.05,-2.2752475247524755,-6.96,2,676
127,8.85,-2.2943502824858757,-12.24,3,676
128,12.25,-2.311020408163265,-16.92,4,676
129,29.9,-2.3978528428093644,-41.480000000000004,5,676
130,37.1,-2.4336118598382748,-51.56,6,676
131,44.3,-2.4695665914221214,-61.72,7,676
132,51.4,-2.5052840466926067,-71.8,8,676
133,3.1,-2.564516129032258,-8.8,1,677
134,5.05,-2.5613861386138614,-14.36,2,677
135,8.85,-2.5542372881355933,-25.16,3,677
136,12.25,-2.5477551020408162,-34.800000000000004,4,677
137,29.9,-2.515772575250836,-85.,5,677
138,37.1,-2.502619946091644,-105.52,6,677
139,44.3,-2.489444695259593,-126.04,7,677
140,51.4,-2.4764435797665367,-146.28,8,677
141,3.1,0.7129032258064516,-7.32,1,827
142,5.05,0.7594059405940594,-11.96,2,827
143,8.85,0.8514124293785311,-21.04,3,827
144,12.25,0.9351020408163264,-29.36,4,827
