particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
71.0,-0.271,-0.866,-0.415,-1.935,-6.18,-2.959,1.0,321.0,42.0,0.494
111.0,-0.399,-0.822,-0.406,-1.722,-3.548,-1.754,1.0,211.0,42.0,0.14
112.0,-0.009,-0.636,-0.746,-0.006,-0.452,-0.53,-1.0,-211.0,42.0,0.14
239.0,0.506,-0.73,-0.457,5.325,-7.682,-4.81,-1.0,-321.0,42.0,0.494
242.0,0.469,-0.786,-0.289,0.823,-1.38,-0.507,-1.0,-321.0,42.0,0.494
245.0,0.442,-0.757,0.468,0.549,-0.941,0.582,1.0,211.0,42.0,0.14
248.0,0.49,-0.753,0.435,1.354,-2.079,1.202,-1.0,-211.0,42.0,0.14
257.0,-0.092,0.14,0.985,-0.262,0.396,2.797,-1.0,-211.0,42.0,0.14
279.0,0.487,-0.722,-0.476,0.57,-0.846,-0.558,1.0,211.0,42.0,0.14
280.0,0.308,-0.736,-0.595,0.462,-1.106,-0.895,-1.0,-211.0,42.0,0.14
282.0,0.556,-0.715,-0.419,4.429,-5.696,-3.339,-1.0,-321.0,42.0,0.494
283.0,0.512,-0.693,-0.507,2.317,-3.134,-2.291,1.0,211.0,42.0,0.14
284.0,0.552,-0.701,-0.451,9.646,-12.252,-7.894,1.0,321.0,42.0,0.494
285.0,0.525,-0.694,-0.492,4.863,-6.433,-4.56,-1.0,-211.0,42.0,0.14
286.0,0.528,-0.568,-0.626,0.946,-1.017,-1.12,1.0,211.0,42.0,0.14
287.0,0.568,-0.693,-0.444,3.157,-3.855,-2.467,-1.0,-211.0,42.0,0.14
288.0,0.591,-0.702,-0.377,2.339,-2.779,-1.494,1.0,321.0,42.0,0.494
294.0,0.493,-0.711,-0.19,0.148,-0.214,-0.057,1.0,211.0,42.0,0.14
295.0,0.635,-0.561,0.438,0.295,-0.261,0.204,-1.0,-211.0,42.0,0.14
299.0,0.431,-0.55,0.712,0.859,-1.097,1.42,1.0,211.0,42.0,0.14
301.0,0.254,-0.653,0.71,0.476,-1.222,1.329,1.0,211.0,42.0,0.14
302.0,0.514,-0.484,0.708,1.972,-1.858,2.717,-1.0,-211.0,42.0,0.14
305.0,0.297,-0.654,0.693,0.725,-1.6,1.696,1.0,211.0,42.0,0.14
306.0,0.203,-0.599,0.772,0.421,-1.239,1.597,-1.0,-211.0,42.0,0.14
308.0,0.281,-0.463,0.59,0.232,-0.381,0.486,1.0,321.0,42.0,0.494
309.0,-0.131,0.468,0.811,-0.056,0.201,0.348,-1.0,-211.0,42.0,0.14
311.0,-0.022,-0.399,0.907,-0.022,-0.412,0.936,1.0,211.0,42.0,0.14
324.0,-0.05,-0.943,-0.241,-0.031,-0.59,-0.151,1.0,211.0,42.0,0.14
325.0,-0.646,-0.24,-0.507,-0.174,-0.065,-0.137,-1.0,-211.0,42.0,0.14
334.0,0.177,-0.717,0.669,0.289,-1.168,1.09,1.0,211.0,42.0,0.14
335.0,0.445,-0.502,0.74,1.529,-1.726,2.544,-1.0,-211.0,42.0,0.14
354.0,0.152,-0.865,-0.458,0.548,-3.117,-1.65,-1.0,-321.0,42.0,0.494
358.0,0.508,-0.646,-0.569,22.671,-28.819,-25.367,1.0,321.0,42.0,0.494
359.0,-0.051,0.259,0.549,-32.18,163.654,346.648,1.0,-15.0,42.0,500.0
361.0,0.379,-0.668,-0.638,0.89,-1.569,-1.499,1.0,211.0,42.0,0.14
364.0,0.478,-0.65,-0.589,6.825,-9.273,-8.403,-1.0,-321.0,42.0,0.494
368.0,0.53,-0.606,-0.594,12.347,-14.128,-13.841,1.0,211.0,42.0,0.14
369.0,0.522,-0.62,-0.586,11.214,-13.337,-12.586,-1.0,-211.0,42.0,0.14
