"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,0.6741935483870968,-15.88,1,174
2,5.05,0.6702970297029703,-25.84,2,174
3,8.85,0.6610169491525424,-45.32,3,174
4,12.25,0.6530612244897959,-62.72,4,174
5,29.9,0.6109765886287625,-153.20000000000002,5,174
6,37.1,0.5937628032345013,-190.20000000000002,6,174
7,44.3,0.5765417607223475,-227.20000000000002,7,174
8,51.4,0.5594785992217899,-263.8,8,174
9,3.1,0.9903225806451613,-12.52,1,176
10,5.05,0.9881188118811881,-20.400000000000002,2,176
11,8.85,0.9847457627118644,-35.76,3,176
12,12.25,0.9820408163265305,-49.52,4,176
13,29.9,0.9662140468227424,-120.88,5,176
14,37.1,0.9597897574123988,-150.,6,176
15,44.3,0.9534582392776523,-179.12,7,176
16,51.4,0.9471050583657588,-207.84,8,176
17,3.1,0.782258064516129,-12.52,1,188
18,5.05,0.7910891089108911,-20.36,2,188
19,8.85,0.8067796610169492,-35.68,3,188
20,12.25,0.8212244897959183,-49.4,4,188
21,29.9,0.8967357859531772,-120.88,5,188
22,37.1,0.9276226415094339,-150.24,6,188
23,44.3,0.9586772009029344,-179.72,7,188
24,51.4,0.9894396887159532,-208.96,8,188
25,3.1,-3.1016129032258064,-0.56,1,207
26,5.05,-3.09009900990099,-0.88,2,207
27,8.85,-3.0672316384180793,-1.56,3,207
28,12.25,-3.0465306122448976,-2.16,4,207
29,29.9,-2.9382140468227425,-5.24,5,207
30,37.1,-2.8932991913746626,-6.5600000000000005,6,207
31,44.3,-2.8482483069977422,-7.84,7,207
32,51.4,-2.802817120622568,-9.120000000000001,8,207
33,3.1,-0.13548387096774195,-10.64,1,208
34,5.05,-0.1405940594059406,-17.32,2,208
35,8.85,-0.15141242937853108,-30.36,3,208
36,12.25,-0.16122448979591836,-42.,4,208
37,29.9,-0.21161872909698995,-102.64,5,208
38,37.1,-0.23231805929919133,-127.44,6,208
39,44.3,-0.25304288939051917,-152.32,7,208
40,51.4,-0.2734552529182879,-176.88,8,208
41,3.1,1.1919354838709677,17.28,1,224
42,5.05,1.201980198019802,28.16,2,224
43,8.85,1.2214689265536725,49.4,3,224
44,12.25,1.2387755102040816,68.4,4,224
45,29.9,1.3302073578595317,167.48,5,224
46,37.1,1.3678814016172505,208.24,6,224
47,44.3,1.4058194130925505,249.32,7,224
48,51.4,1.4436108949416342,290.2,8,224
49,3.1,-1.3612903225806452,-6.5600000000000005,1,239
50,5.05,-1.3544554455445545,-10.64,2,239
51,8.85,-1.340677966101695,-18.68,3,239
52,12.25,-1.3289795918367346,-25.84,4,239
