particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass,particle_id
305.0,-0.245,0.308,0.894,-0.159,0.2,0.583,-1.0,-211.0,368.0,0.14,305.0
306.0,0.636,0.661,0.388,1.055,1.097,0.643,1.0,211.0,368.0,0.14,306.0
309.0,0.575,0.657,-0.455,0.465,0.532,-0.368,1.0,211.0,368.0,0.14,309.0
315.0,0.282,0.249,-0.926,2.877,2.537,-9.444,-1.0,-211.0,368.0,0.14,315.0
326.0,-0.228,0.009,-0.973,-0.898,0.037,-3.834,-1.0,-211.0,368.0,0.14,326.0
327.0,-0.242,-0.145,0.651,-0.169,-0.101,0.456,1.0,321.0,368.0,0.494,327.0
352.0,-0.066,0.343,0.937,-0.266,1.387,3.791,1.0,211.0,368.0,0.14,352.0
374.0,0.425,-0.395,0.741,0.175,-0.162,0.305,-1.0,-211.0,368.0,0.14,374.0
385.0,-0.291,-0.284,-0.911,-0.562,-0.55,-1.762,1.0,211.0,368.0,0.14,385.0
386.0,-0.053,0.665,0.718,-0.038,0.469,0.506,-1.0,-211.0,368.0,0.14,386.0
490.0,-0.523,-0.435,0.709,-0.394,-0.328,0.534,-1.0,-211.0,368.0,0.14,490.0
491.0,0.085,0.429,-0.894,0.12,0.606,-1.261,1.0,211.0,368.0,0.14,491.0
493.0,-0.704,-0.264,-0.636,-0.577,-0.216,-0.521,-1.0,-211.0,368.0,0.14,493.0
542.0,0.308,-0.246,-0.912,0.37,-0.295,-1.093,-1.0,-211.0,368.0,0.14,542.0
544.0,0.02,0.478,-0.853,0.013,0.319,-0.569,1.0,211.0,368.0,0.14,544.0
548.0,0.705,0.001,-0.709,8.334,0.008,-8.373,-1.0,-211.0,368.0,0.14,548.0
550.0,0.716,-0.085,-0.692,3.793,-0.45,-3.665,1.0,211.0,368.0,0.14,550.0
627.0,0.394,0.177,0.899,0.752,0.338,1.715,1.0,211.0,368.0,0.14,627.0
628.0,-0.134,0.455,-0.758,-0.042,0.142,-0.237,-1.0,-211.0,368.0,0.14,628.0
629.0,0.517,0.846,-0.114,1.104,1.808,-0.243,-1.0,-211.0,368.0,0.14,629.0
634.0,0.654,0.227,-0.668,1.178,0.41,-1.203,-1.0,-321.0,368.0,0.494,634.0
640.0,0.389,0.686,-0.591,0.317,0.56,-0.482,1.0,211.0,368.0,0.14,640.0
645.0,0.207,-0.058,-0.974,0.378,-0.105,-1.783,-1.0,-211.0,368.0,0.14,645.0
646.0,-0.034,-0.273,-0.959,-0.066,-0.535,-1.882,-1.0,-211.0,368.0,0.14,646.0
648.0,0.1,0.39,-0.895,0.072,0.28,-0.643,-1.0,-211.0,368.0,0.14,648.0
650.0,0.193,-0.263,-0.937,0.212,-0.289,-1.032,1.0,211.0,368.0,0.14,650.0
653.0,0.339,-0.016,0.936,0.528,-0.024,1.459,-1.0,-211.0,368.0,0.14,653.0
664.0,-0.022,0.455,0.881,-0.023,0.489,0.947,1.0,211.0,368.0,0.14,664.0
665.0,-0.079,0.337,0.938,-0.386,1.654,4.605,-1.0,-211.0,368.0,0.14,665.0
667.0,-0.166,0.225,0.959,-0.623,0.846,3.601,-1.0,-211.0,368.0,0.14,667.0
688.0,-0.394,-0.364,0.776,-0.166,-0.153,0.326,-1.0,-211.0,368.0,0.14,688.0
690.0,0.786,-0.263,0.374,0.263,-0.088,0.125,-1.0,-211.0,368.0,0.14,690.0
696.0,0.375,-0.116,-0.917,0.753,-0.232,-1.84,-1.0,-211.0,368.0,0.14,696.0
698.0,0.241,-0.729,0.482,0.079,-0.24,0.159,1.0,211.0,368.0,0.14,698.0
699.0,0.295,0.717,0.597,0.2,0.485,0.404,-1.0,-211.0,368.0,0.14,699.0
724.0,-0.186,0.7,0.675,-0.188,0.706,0.682,1.0,211.0,368.0,0.14,724.0
741.0,0.48,-0.678,0.441,0.197,-0.278,0.181,1.0,211.0,368.0,0.14,741.0
755.0,-0.21,0.096,-0.973,-1.024,0.469,-4.745,-1.0,-211.0,368.0,0.14,755.0
757.0,-0.188,0.069,-0.979,-0.733,0.267,-3.807,-1.0,-211.0,368.0,0.14,757.0
