"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
1,3.1,-2.732258064516129,8.68,1,119
2,5.05,-2.722772277227723,14.16,2,119
3,8.85,-2.7033898305084745,24.84,3,119
4,12.25,-2.6861224489795914,34.4,4,119
5,29.9,-2.5959397993311035,84.2,5,119
6,37.1,-2.5588894878706197,104.68,6,119
7,44.3,-2.5214492099322796,125.32000000000001,7,119
8,51.4,-2.484249027237354,145.88,8,119
9,3.1,2.7241935483870967,-2.52,1,121
10,5.05,2.710891089108911,-4.12,2,121
11,8.85,2.685875706214689,-7.24,3,121
12,12.25,2.662857142857143,-10.,4,121
13,29.9,2.542722408026756,-24.6,5,121
14,37.1,2.4930889487870616,-30.64,6,121
15,44.3,2.442704288939052,-36.76,7,121
16,51.4,2.392171206225681,-42.88,8,121
17,3.1,-0.01935483870967742,9.96,1,159
18,5.05,-0.0049504950495049506,16.2,2,159
19,8.85,0.024858757062146894,28.400000000000002,3,159
20,12.25,0.0510204081632653,39.36,4,159
21,29.9,0.18910367892976587,96.8,5,159
22,37.1,0.24643126684636116,120.72,6,159
23,44.3,0.305079006772009,145.04,7,159
24,51.4,0.3639455252918288,169.56,8,159
25,3.1,-2.335483870967742,-0.48,1,162
26,5.05,-2.3267326732673266,-0.8,2,162
27,8.85,-2.309039548022599,-1.4000000000000001,3,162
28,12.25,-2.293061224489796,-1.96,4,162
29,29.9,-2.209772575250836,-4.8,5,162
30,37.1,-2.1757250673854442,-5.96,6,162
31,44.3,-2.1411557562076746,-7.12,7,162
32,51.4,-2.107073929961089,-8.28,8,162
33,3.1,-0.7419354838709677,-2.44,1,163
34,5.05,-0.7821782178217822,-4.,2,163
35,8.85,-0.8632768361581922,-7.,3,163
36,12.25,-0.9367346938775509,-9.76,4,163
37,29.9,-1.3573846153846152,-25.48,5,163
38,37.1,-1.573164420485175,-33.52,6,163
39,3.1,-2.9161290322580644,-3.68,1,165
40,5.05,-2.9277227722772277,-6.04,2,165
41,8.85,-2.951977401129944,-10.56,3,165
42,12.25,-2.973877551020408,-14.6,4,165
43,29.9,-3.0866086956521737,-35.84,5,165
44,37.1,-3.133315363881401,-44.64,6,165
45,44.3,3.102595936794582,-53.52,7,165
46,51.4,3.0553696498054475,-62.4,8,165
47,3.1,1.5032258064516129,-3.2,1,166
48,5.05,1.5207920792079208,-5.24,2,166
49,8.85,1.5542372881355933,-9.200000000000001,3,166
50,12.25,1.5848979591836734,-12.72,4,166
51,29.9,1.7455986622073578,-31.400000000000002,5,166
52,37.1,1.8130889487870618,-39.24,6,166
53,44.3,1.8818194130925505,-47.24,7,166
54,51.4,1.952420233463035,-55.4,8,166
55,3.1,2.161290322580645,17.28,1,196
56,5.05,2.1524752475247526,28.16,2,196
57,8.85,2.135593220338983,49.36,3,196
58,12.25,2.120816326530612,68.36,4,196
59,29.9,2.043979933110368,167.20000000000002,5,196
60,37.1,2.012415094339622,207.8,6,196
61,44.3,1.9806726862302482,248.56,7,196
62,51.4,1.9491789883268482,289.04,8,196
63,3.1,2.3532258064516127,6.32,1,200
64,5.05,2.3435643564356434,10.28,2,200
65,8.85,2.323728813559322,18.04,3,200
66,12.25,2.3061224489795915,25.,4,200
67,29.9,2.214207357859532,61.2,5,200
68,37.1,2.1764582210242582,76.12,6,200
69,44.3,2.138316027088036,91.16,7,200
