particle_id,vx,vy,vz,px,py,pz,charge,PID,Event#,Mass
534.0,0.119,0.154,-0.981,7.382,9.541,-60.968,-1.0,-321.0,700.0,0.494
535.0,0.11,0.155,-0.982,11.502,16.308,-103.034,1.0,321.0,700.0,0.494
542.0,0.125,0.139,-0.982,2.262,2.515,-17.726,1.0,211.0,700.0,0.14
557.0,0.08,0.181,-0.98,2.322,5.252,-28.384,-1.0,-211.0,700.0,0.14
560.0,0.06,0.199,-0.978,1.601,5.254,-25.88,1.0,211.0,700.0,0.14
564.0,0.089,0.22,-0.971,1.175,2.889,-12.784,1.0,211.0,700.0,0.14
565.0,0.127,0.848,-0.299,0.042,0.282,-0.1,-1.0,-211.0,700.0,0.14
567.0,-0.048,0.557,-0.807,-0.125,1.446,-2.094,1.0,321.0,700.0,0.494
572.0,0.309,0.069,-0.948,3.447,0.769,-10.572,1.0,211.0,700.0,0.14
578.0,0.287,-0.341,-0.856,0.153,-0.181,-0.454,1.0,211.0,700.0,0.14
583.0,-0.185,0.034,-0.982,-0.894,0.165,-4.751,-1.0,-211.0,700.0,0.14
600.0,0.146,-0.22,-0.964,1.239,-1.862,-8.169,1.0,211.0,700.0,0.14
672.0,-0.131,0.129,0.981,-0.309,0.304,2.308,1.0,211.0,700.0,0.14
690.0,0.461,-0.073,-0.83,0.21,-0.033,-0.378,-1.0,-211.0,700.0,0.14
698.0,-0.2,-0.316,-0.885,-0.1,-0.158,-0.444,1.0,211.0,700.0,0.14
699.0,0.243,-0.014,-0.968,0.654,-0.038,-2.605,-1.0,-211.0,700.0,0.14
707.0,-0.102,-0.771,0.572,-0.054,-0.411,0.305,1.0,211.0,700.0,0.14
733.0,0.118,0.146,-0.982,18.295,22.71,-152.637,-1.0,-211.0,700.0,0.14
736.0,0.108,0.194,-0.972,0.721,1.292,-6.465,-1.0,-321.0,700.0,0.494
737.0,0.138,0.124,-0.982,0.716,0.641,-5.096,1.0,211.0,700.0,0.14
739.0,0.177,0.186,-0.966,1.591,1.671,-8.674,-1.0,-211.0,700.0,0.14
740.0,0.175,0.115,-0.977,0.547,0.359,-3.044,1.0,211.0,700.0,0.14
741.0,0.203,0.212,-0.956,3.08,3.208,-14.5,-1.0,-211.0,700.0,0.14
753.0,0.162,0.16,-0.973,0.586,0.581,-3.528,1.0,211.0,700.0,0.14
756.0,0.096,0.204,-0.97,0.156,0.333,-1.582,-1.0,-211.0,700.0,0.14
768.0,0.036,0.206,-0.977,0.103,0.594,-2.81,1.0,211.0,700.0,0.14
769.0,0.174,0.219,-0.96,1.718,2.167,-9.486,-1.0,-211.0,700.0,0.14
770.0,0.059,0.178,-0.971,0.055,0.166,-0.902,1.0,211.0,700.0,0.14
771.0,0.133,0.38,-0.904,0.128,0.367,-0.874,-1.0,-211.0,700.0,0.14
774.0,0.18,0.162,-0.97,0.822,0.74,-4.42,-1.0,-211.0,700.0,0.14
775.0,0.36,0.087,-0.928,2.189,0.527,-5.638,1.0,211.0,700.0,0.14
779.0,0.308,0.324,-0.841,0.141,0.149,-0.386,-1.0,-211.0,700.0,0.14
783.0,0.343,0.005,-0.936,0.629,0.009,-1.715,1.0,211.0,700.0,0.14
784.0,0.441,-0.079,-0.889,0.628,-0.113,-1.267,-1.0,-211.0,700.0,0.14
786.0,0.267,0.055,-0.962,2.532,0.523,-9.111,-1.0,-211.0,700.0,0.14
809.0,0.042,-0.308,-0.946,0.064,-0.472,-1.451,1.0,211.0,700.0,0.14
810.0,0.178,-0.232,-0.952,0.296,-0.386,-1.584,-1.0,-211.0,700.0,0.14
815.0,0.163,-0.182,-0.97,1.241,-1.391,-7.395,-1.0,-211.0,700.0,0.14
817.0,0.194,-0.167,-0.966,0.858,-0.736,-4.265,1.0,211.0,700.0,0.14
889.0,0.249,0.147,0.892,0.1,0.059,0.358,1.0,211.0,700.0,0.14
919.0,0.103,0.15,-0.983,2.983,4.357,-28.606,1.0,211.0,700.0,0.14
920.0,0.113,0.149,-0.982,5.576,7.362,-48.397,-1.0,-211.0,700.0,0.14
923.0,0.112,0.147,-0.983,1.707,2.237,-14.978,1.0,211.0,700.0,0.14
924.0,0.111,0.177,-0.978,1.277,2.039,-11.239,-1.0,-211.0,700.0,0.14
940.0,0.073,0.216,-0.973,0.39,1.158,-5.218,-1.0,-211.0,700.0,0.14
1041.0,-0.144,0.106,0.984,-0.916,0.672,6.25,-1.0,-211.0,700.0,0.14
1047.0,0.161,-0.06,0.981,0.924,-0.347,5.644,-1.0,-321.0,700.0,0.494
1144.0,0.076,0.235,-0.969,3.006,9.357,-38.565,-1.0,-321.0,700.0,0.494
1145.0,0.082,0.236,-0.968,5.043,14.484,-59.411,1.0,211.0,700.0,0.14
1154.0,0.414,0.328,-0.82,0.262,0.207,-0.517,1.0,211.0,700.0,0.14
1155.0,0.232,0.21,-0.949,0.668,0.604,-2.728,-1.0,-211.0,700.0,0.14
1186.0,0.451,-0.533,-0.686,0.307,-0.362,-0.466,-1.0,-211.0,700.0,0.14
1187.0,-0.485,-0.163,0.82,-0.265,-0.089,0.449,1.0,211.0,700.0,0.14
1188.0,-0.227,-0.659,0.331,-0.05,-0.145,0.073,-1.0,-211.0,700.0,0.14
1220.0,-0.939,0.083,0.018,-0.393,0.035,0.008,-1.0,-211.0,700.0,0.14
1221.0,0.819,-0.331,0.346,0.361,-0.146,0.153,1.0,211.0,700.0,0.14
1225.0,-0.399,0.9,-0.162,-0.754,1.702,-0.306,1.0,211.0,700.0,0.14
1227.0,-0.724,0.432,-0.536,-2.136,1.276,-1.581,1.0,211.0,700.0,0.14
1230.0,0.113,0.237,-0.965,2.538,5.3,-21.625,-1.0,-211.0,700.0,0.14
1232.0,0.228,-0.088,-0.959,0.223,-0.086,-0.938,1.0,211.0,700.0,0.14
1236.0,0.1,0.143,-0.985,6.99,10.061,-69.156,1.0,211.0,700.0,0.14
1237.0,0.123,0.151,-0.981,5.225,6.418,-41.646,-1.0,-211.0,700.0,0.14
1269.0,0.189,-0.294,0.937,3.395,-5.282,16.835,-1.0,-321.0,700.0,0.494
1270.0,0.201,-0.255,0.946,2.219,-2.817,10.454,1.0,211.0,700.0,0.14
1273.0,0.282,-0.125,0.928,0.189,-0.084,0.622,1.0,211.0,700.0,0.14
1274.0,-0.211,0.782,-0.468,-0.084,0.309,-0.185,-1.0,-211.0,700.0,0.14
1277.0,0.637,-0.415,0.247,0.148,-0.096,0.057,-1.0,-211.0,700.0,0.14
1279.0,-0.698,0.574,-0.427,-2.912,2.394,-1.781,-1.0,-211.0,700.0,0.14
1284.0,-0.672,0.595,-0.436,-5.431,4.804,-3.522,1.0,321.0,700.0,0.494
1285.0,-0.574,0.737,-0.339,-0.721,0.926,-0.427,-1.0,-211.0,700.0,0.14
1312.0,-0.255,0.269,0.305,-145.241,153.47,173.749,1.0,-15.0,700.0,500.0
1313.0,-0.106,-0.513,0.472,-75.043,-362.431,333.47,-1.0,15.0,700.0,500.0
1322.0,0.144,-0.3,0.943,6.803,-14.151,44.486,1.0,211.0,700.0,0.14
1323.0,0.143,-0.334,0.932,3.28,-7.66,21.368,-1.0,-211.0,700.0,0.14
1324.0,0.09,-0.247,0.965,1.109,-3.031,11.852,1.0,211.0,700.0,0.14
