"EventID","TruthID","PID","Layer","r[cm]","phi","z[cm]","E[GeV]","px[GeV]","py[GeV]","pz[GeV]"
0.,2,-211.,1,3.1,-1.614516129032258,0.04,5.858,-0.264,-5.85,0.084
0.,2,-211.,2,5.05,-1.612871287128713,0.08,5.858,-0.264,-5.85,0.084
0.,2,-211.,3,8.85,-1.6112994350282486,0.12,5.858,-0.264,-5.85,0.084
0.,2,-211.,4,12.25,-1.6097959183673467,0.16,5.858,-0.264,-5.85,0.084
0.,2,-211.,5,29.9,-1.6006153846153846,0.44,5.858,-0.264,-5.85,0.084
0.,2,-211.,6,37.1,-1.5969002695417787,0.52,5.858,-0.264,-5.85,0.084
0.,2,-211.,7,44.3,-1.5932415349887132,0.64,5.858,-0.264,-5.85,0.084
0.,2,-211.,8,51.4,-1.589599221789883,0.72,5.858,-0.264,-5.85,0.084
0.,3,-321.,1,3.1,-3.1,7.72,3.199,-1.178,-0.039,2.933
0.,3,-321.,2,5.05,-3.096039603960396,12.56,3.199,-1.178,-0.039,2.933
0.,3,-321.,3,8.85,-3.0858757062146895,22.04,3.199,-1.178,-0.039,2.933
0.,3,-321.,4,12.25,-3.077142857142857,30.48,3.199,-1.178,-0.039,2.933
0.,3,-321.,5,29.9,3.0985484949832776,74.48,3.199,-1.178,-0.039,2.933
0.,3,-321.,6,37.1,3.080161725067385,92.44,3.199,-1.178,-0.039,2.933
0.,3,-321.,7,44.3,3.0617652370203157,110.48,3.199,-1.178,-0.039,2.933
0.,3,-321.,8,51.4,3.0435953307392993,128.28,3.199,-1.178,-0.039,2.933
0.,4,-321.,1,3.1,-2.3193548387096774,127.48,27.384,-0.46,-0.481,27.372
0.,4,-321.,2,5.05,-2.3108910891089107,207.72,27.384,-0.46,-0.481,27.372
0.,4,-321.,3,8.85,-2.2937853107344632,364.08,27.384,-0.46,-0.481,27.372
0.,4,-321.,4,12.25,-2.278775510204081,504.04,27.384,-0.46,-0.481,27.372
0.,4,-321.,5,29.9,-2.1987424749163877,1233.44,27.384,-0.46,-0.481,27.372
0.,4,-321.,6,37.1,-2.166010781671159,1533.,27.384,-0.46,-0.481,27.372
0.,4,-321.,7,44.3,-2.1330203160270877,1834.24,27.384,-0.46,-0.481,27.372
0.,4,-321.,8,51.4,-2.100260700389105,2133.32,27.384,-0.46,-0.481,27.372
0.,6,-211.,1,3.1,2.225806451612903,-2.7600000000000002,0.953,-0.421,0.564,-0.627
0.,6,-211.,2,5.05,2.233663366336634,-4.48,0.953,-0.421,0.564,-0.627
0.,6,-211.,3,8.85,2.2497175141242938,-7.88,0.953,-0.421,0.564,-0.627
0.,6,-211.,4,12.25,2.264081632653061,-10.92,0.953,-0.421,0.564,-0.627
0.,6,-211.,5,29.9,2.339745819397993,-26.72,0.953,-0.421,0.564,-0.627
0.,6,-211.,6,37.1,2.370652291105121,-33.2,0.953,-0.421,0.564,-0.627
0.,6,-211.,7,44.3,2.401796839729119,-39.72,0.953,-0.421,0.564,-0.627
0.,6,-211.,8,51.4,2.4327198443579765,-46.160000000000004,0.953,-0.421,0.564,-0.627
0.,7,321.,1,3.1,0.1435483870967742,-1.56,1.302,1.065,0.164,-0.539
0.,7,321.,2,5.05,0.13861386138613863,-2.52,1.302,1.065,0.164,-0.539
0.,7,321.,3,8.85,0.12824858757062146,-4.44,1.302,1.065,0.164,-0.539
0.,7,321.,4,12.25,0.11877551020408163,-6.12,1.302,1.065,0.164,-0.539
0.,7,321.,5,29.9,0.06947826086956521,-14.96,1.302,1.065,0.164,-0.539
0.,7,321.,6,37.1,0.049396226415094335,-18.6,1.302,1.065,0.164,-0.539
0.,7,321.,7,44.3,0.029241534988713316,-22.2,1.302,1.065,0.164,-0.539
0.,7,321.,8,51.4,0.009260700389105057,-25.8,1.302,1.065,0.164,-0.539
0.,8,-321.,1,3.1,1.0129032258064516,-8.08,5.296,1.008,1.596,-4.924
0.,8,-321.,2,5.05,1.0158415841584159,-13.16,5.296,1.008,1.596,-4.924
0.,8,-321.,3,8.85,1.0214689265536723,-23.080000000000002,5.296,1.008,1.596,-4.924
0.,8,-321.,4,12.25,1.026938775510204,-31.96,5.296,1.008,1.596,-4.924
0.,8,-321.,5,29.9,1.0550234113712373,-78.04,5.296,1.008,1.596,-4.924
0.,8,-321.,6,37.1,1.066463611859838,-96.84,5.296,1.008,1.596,-4.924
0.,8,-321.,7,44.3,1.0778690744920991,-115.64,5.296,1.008,1.596,-4.924
0.,8,-321.,8,51.4,1.089190661478599,-134.24,5.296,1.008,1.596,-4.924
0.,9,321.,1,3.1,0.24838709677419354,-13.4,8.454,1.839,0.476,-8.223
0.,9,321.,2,5.05,0.24554455445544554,-21.88,8.454,1.839,0.476,-8.223
0.,9,321.,3,8.85,0.23954802259887006,-38.32,8.454,1.839,0.476,-8.223
0.,9,321.,4,12.25,0.23387755102040814,-53.04,8.454,1.839,0.476,-8.223
