"EventID","layer","QID","r [cm]","phi [rad]","z [cm]","E[GeV]","px[GeV]","py[GeV]","pz[GeV]"
0,1,2,3.1,-2.129032258064516,6.44,924.68,-178.94,-286.71,700.58
0,1,1,3.1,0.9145161290322581,16.16,1786.09,197.04,256.09,1683.96
0,2,2,5.05,-2.128712871287129,10.48,924.68,-178.94,-286.71,700.58
0,2,1,5.05,0.9148514851485149,26.32,1786.09,197.04,256.09,1683.96
0,3,2,8.85,-2.128813559322034,18.36,924.68,-178.94,-286.71,700.58
0,3,1,8.85,0.9146892655367233,46.12,1786.09,197.04,256.09,1683.96
0,4,2,12.25,-2.1285714285714286,25.400000000000002,924.68,-178.94,-286.71,700.58
0,4,1,12.25,0.9146938775510203,63.84,1786.09,197.04,256.09,1683.96
0,5,2,29.9,-2.128468227424749,62.08,924.68,-178.94,-286.71,700.58
0,5,1,29.9,0.9147023411371237,155.92000000000002,1786.09,197.04,256.09,1683.96
0,6,2,37.1,-2.1283450134770887,77.04,924.68,-178.94,-286.71,700.58
0,6,1,37.1,0.914609164420485,193.52,1786.09,197.04,256.09,1683.96
0,7,2,44.3,-2.128338600451467,92.04,924.68,-178.94,-286.71,700.58
0,7,1,44.3,0.9144695259593678,231.08,1786.09,197.04,256.09,1683.96
0,8,2,51.4,-2.1282412451361865,106.8,924.68,-178.94,-286.71,700.58
0,8,1,51.4,0.9144280155642023,268.16,1786.09,197.04,256.09,1683.96
1,1,1,3.1,0.782258064516129,-1.32,615.9,235.12,233.8,-139.26
1,1,2,3.1,-2.4274193548387095,-0.68,620.27,-270.96,-234.91,-78.29
1,2,1,5.05,0.7821782178217822,-2.12,615.9,235.12,233.8,-139.26
1,2,2,5.05,-2.4277227722772277,-1.12,620.27,-270.96,-234.91,-78.29
1,3,1,8.85,0.7824858757062148,-3.72,615.9,235.12,233.8,-139.26
1,3,2,8.85,-2.4271186440677965,-1.92,620.27,-270.96,-234.91,-78.29
1,4,1,12.25,0.7824489795918367,-5.16,615.9,235.12,233.8,-139.26
1,4,2,12.25,-2.4273469387755098,-2.68,620.27,-270.96,-234.91,-78.29
1,5,1,29.9,0.7823411371237458,-12.56,615.9,235.12,233.8,-139.26
1,5,2,29.9,-2.427076923076923,-6.5200000000000005,620.27,-270.96,-234.91,-78.29
1,6,1,37.1,0.7822749326145552,-15.6,615.9,235.12,233.8,-139.26
1,6,2,37.1,-2.4271051212938004,-8.120000000000001,620.27,-270.96,-234.91,-78.29
1,7,1,44.3,0.7822302483069976,-18.64,615.9,235.12,233.8,-139.26
1,7,2,44.3,-2.427047404063205,-9.68,620.27,-270.96,-234.91,-78.29
1,8,1,51.4,0.7821984435797665,-21.64,615.9,235.12,233.8,-139.26
1,8,2,51.4,-2.426964980544747,-11.24,620.27,-270.96,-234.91,-78.29
2,1,1,3.1,-0.2161290322580645,-1.6400000000000001,739.63,471.42,-103.53,-253.17
2,1,2,3.1,2.958064516129032,-1.48,706.72,-442.25,82.33,-217.01
2,2,1,5.05,-0.21584158415841584,-2.64,739.63,471.42,-103.53,-253.17
2,2,2,5.05,2.9574257425742574,-2.44,706.72,-442.25,82.33,-217.01
2,3,1,8.85,-0.21638418079096047,-4.64,739.63,471.42,-103.53,-253.17
2,3,2,8.85,2.957627118644068,-4.28,706.72,-442.25,82.33,-217.01
2,4,1,12.25,-0.21632653061224488,-6.44,739.63,471.42,-103.53,-253.17
2,4,2,12.25,2.957551020408163,-5.92,706.72,-442.25,82.33,-217.01
2,5,1,29.9,-0.21639464882943144,-15.68,739.63,471.42,-103.53,-253.17
2,5,2,29.9,2.9577725752508357,-14.44,706.72,-442.25,82.33,-217.01
2,6,1,37.1,-0.21646361185983826,-19.48,739.63,471.42,-103.53,-253.17
2,6,2,37.1,2.9578167115902962,-17.92,706.72,-442.25,82.33,-217.01
2,7,1,44.3,-0.21643340857787807,-23.240000000000002,739.63,471.42,-103.53,-253.17
2,7,2,44.3,2.957846501128668,-21.400000000000002,706.72,-442.25,82.33,-217.01
2,8,1,51.4,-0.2165019455252918,-27.,739.63,471.42,-103.53,-253.17
2,8,2,51.4,2.9578677042801553,-24.84,706.72,-442.25,82.33,-217.01
3,1,2,3.1,-1.2580645161290323,-10.32,1277.45,104.12,-321.98,-1125.78
3,1,1,3.1,1.9580645161290322,-1.84,775.24,-192.03,471.47,-303.05
3,2,2,5.05,-1.2584158415841584,-16.8,1277.45,104.12,-321.98,-1125.78
3,2,1,5.05,1.9574257425742574,-3.,775.24,-192.03,471.47,-303.05
3,3,2,8.85,-1.2581920903954802,-29.44,1277.45,104.12,-321.98,-1125.78
3,3,1,8.85,1.957627118644068,-5.28,775.24,-192.03,471.47,-303.05
3,4,2,12.25,-1.2579591836734694,-40.76,1277.45,104.12,-321.98,-1125.78
3,4,1,12.25,1.957551020408163,-7.28,775.24,-192.03,471.47,-303.05
3,5,2,29.9,-1.257772575250836,-99.52,1277.45,104.12,-321.98,-1125.78
3,5,1,29.9,1.9574448160535116,-17.8,775.24,-192.03,471.47,-303.05
3,6,2,37.1,-1.2577250673854445,-123.52,1277.45,104.12,-321.98,-1125.78
3,6,1,37.1,1.9573369272237193,-22.12,775.24,-192.03,471.47,-303.05
3,7,2,44.3,-1.2576930022573363,-147.48,1277.45,104.12,-321.98,-1125.78
3,7,1,44.3,1.9573408577878102,-26.400000000000002,775.24,-192.03,471.47,-303.05
3,8,2,51.4,-1.2576031128404668,-171.16,1277.45,104.12,-321.98,-1125.78
3,8,1,51.4,1.9573151750972761,-30.64,775.24,-192.03,471.47,-303.05
4,1,2,3.1,-2.053225806451613,-4.96,706.24,-122.59,-234.28,-422.91
4,1,1,3.1,1.8774193548387097,-2.2800000000000002,558.4,-60.39,191.01,-147.24
4,2,2,5.05,-2.0524752475247525,-8.08,706.24,-122.59,-234.28,-422.91
4,2,1,5.05,1.8772277227722773,-3.72,558.4,-60.39,191.01,-147.24
4,3,2,8.85,-2.0531073446327683,-14.16,706.24,-122.59,-234.28,-422.91
4,3,1,8.85,1.877401129943503,-6.5200000000000005,558.4,-60.39,191.01,-147.24
4,4,2,12.25,-2.0530612244897957,-19.6,706.24,-122.59,-234.28,-422.91
4,4,1,12.25,1.8775510204081631,-9.040000000000001,558.4,-60.39,191.01,-147.24
4,5,2,29.9,-2.053076923076923,-47.88,706.24,-122.59,-234.28,-422.91
4,5,1,29.9,1.8778461538461537,-22.080000000000002,558.4,-60.39,191.01,-147.24
4,6,2,37.1,-2.053196765498652,-59.4,706.24,-122.59,-234.28,-422.91
4,6,1,37.1,1.878064690026954,-27.44,558.4,-60.39,191.01,-147.24
4,7,2,44.3,-2.053200902934537,-70.96000000000001,706.24,-122.59,-234.28,-422.91
4,7,1,44.3,1.8782889390519186,-32.8,558.4,-60.39,191.01,-147.24
4,8,2,51.4,-2.0532957198443578,-82.36,706.24,-122.59,-234.28,-422.91
4,8,1,51.4,1.878533073929961,-38.12,558.4,-60.39,191.01,-147.24
5,1,2,3.1,-1.696774193548387,12.24,854.74,-21.52,-168.94,671.99
5,1,1,3.1,1.835483870967742,27.080000000000002,1752.41,-50.04,184.44,1668.66
5,2,2,5.05,-1.697029702970297,19.96,854.74,-21.52,-168.94,671.99
5,2,1,5.05,1.8356435643564357,44.12,1752.41,-50.04,184.44,1668.66
5,3,2,8.85,-1.6977401129943503,34.96,854.74,-21.52,-168.94,671.99
5,3,1,8.85,1.835593220338983,77.32000000000001,1752.41,-50.04,184.44,1668.66
5,4,2,12.25,-1.6975510204081632,48.44,854.74,-21.52,-168.94,671.99
5,4,1,12.25,1.8355102040816325,107.04,1752.41,-50.04,184.44,1668.66
5,5,2,29.9,-1.697612040133779,118.56,854.74,-21.52,-168.94,671.99
5,5,1,29.9,1.835658862876254,261.48,1752.41,-50.04,184.44,1668.66
5,6,2,37.1,-1.6976172506738543,147.28,854.74,-21.52,-168.94,671.99
5,6,1,37.1,1.8356334231805926,324.56,1752.41,-50.04,184.44,1668.66
5,7,2,44.3,-1.6976207674943564,176.08,854.74,-21.52,-168.94,671.99
5,7,1,44.3,1.8356930022573361,387.68,1752.41,-50.04,184.44,1668.66
5,8,2,51.4,-1.6976186770428014,204.52,854.74,-21.52,-168.94,671.99
5,8,1,51.4,1.835669260700389,450.,1752.41,-50.04,184.44,1668.66
6,1,1,3.1,2.4483870967741934,1.44,566.68,-186.18,154.48,112.25
6,1,2,3.1,-0.8145161290322581,3.7600000000000002,676.12,198.55,-210.16,351.49
6,2,1,5.05,2.4485148514851485,2.36,566.68,-186.18,154.48,112.25
6,2,2,5.05,-0.8138613861386139,6.16,676.12,198.55,-210.16,351.49
6,3,1,8.85,2.4491525423728815,4.12,566.68,-186.18,154.48,112.25
6,3,2,8.85,-0.8135593220338984,10.76,676.12,198.55,-210.16,351.49
6,4,1,12.25,2.4489795918367343,5.68,566.68,-186.18,154.48,112.25
6,4,2,12.25,-0.813877551020408,14.88,676.12,198.55,-210.16,351.49
6,5,1,29.9,2.4487959866220734,13.92,566.68,-186.18,154.48,112.25
6,5,2,29.9,-0.8136120401337792,36.4,676.12,198.55,-210.16,351.49
6,6,1,37.1,2.4487331536388135,17.32,566.68,-186.18,154.48,112.25
6,6,2,37.1,-0.8135256064690026,45.160000000000004,676.12,198.55,-210.16,351.49
6,7,1,44.3,2.448613995485327,20.68,566.68,-186.18,154.48,112.25
6,7,2,44.3,-0.8134672686230248,53.92,676.12,198.55,-210.16,351.49
6,8,1,51.4,2.4485953307392996,24.,566.68,-186.18,154.48,112.25
6,8,2,51.4,-0.8134202334630349,62.6,676.12,198.55,-210.16,351.49
7,1,2,3.1,-1.3419354838709678,-5.5600000000000005,1809.83,192.49,-825.24,-1519.01
7,1,1,3.1,1.8080645161290323,1.44,1005.36,-185.63,768.07,369.27
7,2,2,5.05,-1.3415841584158417,-9.040000000000001,1809.83,192.49,-825.24,-1519.01
7,2,1,5.05,1.807920792079208,2.36,1005.36,-185.63,768.07,369.27
7,3,2,8.85,-1.34180790960452,-15.88,1809.83,192.49,-825.24,-1519.01
7,3,1,8.85,1.807909604519774,4.12,1005.36,-185.63,768.07,369.27
7,4,2,12.25,-1.3416326530612244,-21.96,1809.83,192.49,-825.24,-1519.01
7,4,1,12.25,1.8077551020408162,5.72,1005.36,-185.63,768.07,369.27
7,5,2,29.9,-1.3415785953177257,-53.6,1809.83,192.49,-825.24,-1519.01
7,5,1,29.9,1.8077993311036789,13.96,1005.36,-185.63,768.07,369.27
7,6,2,37.1,-1.341487870619946,-66.52,1809.83,192.49,-825.24,-1519.01
7,6,1,37.1,1.8077735849056602,17.32,1005.36,-185.63,768.07,369.27
7,7,2,44.3,-1.3415033860045145,-79.4,1809.83,192.49,-825.24,-1519.01
7,7,1,44.3,1.8077562076749434,20.68,1005.36,-185.63,768.07,369.27
7,8,2,51.4,-1.34147859922179,-92.16,1809.83,192.49,-825.24,-1519.01
7,8,1,51.4,1.8077548638132295,24.,1005.36,-185.63,768.07,369.27
8,1,2,3.1,1.6483870967741936,1.96,722.97,-34.09,439.89,279.32
8,1,1,3.1,-1.4193548387096775,3.4,816.15,65.3,-429.93,476.44
8,2,2,5.05,1.6485148514851484,3.2,722.97,-34.09,439.89,279.32
8,2,1,5.05,-1.4198019801980197,5.5200000000000005,816.15,65.3,-429.93,476.44
8,3,2,8.85,1.6480225988700565,5.6000000000000005,722.97,-34.09,439.89,279.32
8,3,1,8.85,-1.4203389830508475,9.68,816.15,65.3,-429.93,476.44
8,4,2,12.25,1.6481632653061222,7.76,722.97,-34.09,439.89,279.32
8,4,1,12.25,-1.42,13.44,816.15,65.3,-429.93,476.44
8,5,2,29.9,1.6483745819397992,18.96,722.97,-34.09,439.89,279.32
8,5,1,29.9,-1.420267558528428,32.76,816.15,65.3,-429.93,476.44
8,6,2,37.1,1.6484043126684633,23.52,722.97,-34.09,439.89,279.32
8,6,1,37.1,-1.4203018867924526,40.68,816.15,65.3,-429.93,476.44
8,7,2,44.3,1.6484243792325055,28.080000000000002,722.97,-34.09,439.89,279.32
8,7,1,44.3,-1.4203250564334085,48.56,816.15,65.3,-429.93,476.44
8,8,2,51.4,1.6484708171206224,32.6,722.97,-34.09,439.89,279.32
8,8,1,51.4,-1.4203929961089494,56.36,816.15,65.3,-429.93,476.44
9,1,1,3.1,1.582258064516129,-6.36,692.06,-2.36,210.11,-429.88
9,1,2,3.1,-2.796774193548387,-2.4,751.33,-418.1,-149.97,-342.33
9,2,1,5.05,1.5821782178217823,-10.32,692.06,-2.36,210.11,-429.88
9,2,2,5.05,-2.797029702970297,-3.88,751.33,-418.1,-149.97,-342.33
9,3,1,8.85,1.5824858757062148,-18.12,692.06,-2.36,210.11,-429.88
9,3,2,8.85,-2.797175141242938,-6.84,751.33,-418.1,-149.97,-342.33
9,4,1,12.25,1.5828571428571427,-25.080000000000002,692.06,-2.36,210.11,-429.88
9,4,2,12.25,-2.7971428571428567,-9.44,751.33,-418.1,-149.97,-342.33
9,5,1,29.9,1.5838996655518394,-61.28,692.06,-2.36,210.11,-429.88
9,5,2,29.9,-2.797210702341137,-23.080000000000002,751.33,-418.1,-149.97,-342.33
9,6,1,37.1,1.5843450134770887,-76.08,692.06,-2.36,210.11,-429.88
9,6,2,37.1,-2.7972560646900266,-28.6,751.33,-418.1,-149.97,-342.33
9,7,1,44.3,1.5847990970654626,-90.84,692.06,-2.36,210.11,-429.88
9,7,2,44.3,-2.7972866817155753,-34.2,751.33,-418.1,-149.97,-342.33
9,8,1,51.4,1.5852334630350193,-105.48,692.06,-2.36,210.11,-429.88
9,8,2,51.4,-2.797260700389105,-39.68,751.33,-418.1,-149.97,-342.33
10,1,2,3.1,-2.4870967741935486,-2.6,572.66,-169.7,-130.03,-179.56
10,1,1,3.1,0.4629032258064516,-0.6,556.85,215.45,107.49,-45.96
10,2,2,5.05,-2.488118811881188,-4.24,572.66,-169.7,-130.03,-179.56
