EventID,TruthID,PID,layer,r,phi,z
0.,2,-211.,1,3.1,-1.614516129032258,0.04
0.,2,-211.,2,5.05,-1.612871287128713,0.08
0.,2,-211.,3,8.85,-1.6112994350282486,0.12
0.,2,-211.,4,12.25,-1.6097959183673467,0.16
0.,2,-211.,5,29.9,-1.6006153846153846,0.44
0.,2,-211.,6,37.1,-1.5969002695417787,0.52
0.,2,-211.,7,44.3,-1.5932415349887132,0.64
0.,2,-211.,8,51.4,-1.589599221789883,0.72
0.,3,-321.,1,3.1,-3.1,7.72
0.,3,-321.,2,5.05,-3.096039603960396,12.56
0.,3,-321.,3,8.85,-3.0858757062146895,22.04
0.,3,-321.,4,12.25,-3.077142857142857,30.48
0.,3,-321.,5,29.9,3.0985484949832776,74.48
0.,3,-321.,6,37.1,3.080161725067385,92.44
0.,3,-321.,7,44.3,3.0617652370203157,110.48
0.,3,-321.,8,51.4,3.0435953307392993,128.28
0.,4,-321.,1,3.1,-2.3193548387096774,127.48
0.,4,-321.,2,5.05,-2.3108910891089107,207.72
0.,4,-321.,3,8.85,-2.2937853107344632,364.08
0.,4,-321.,4,12.25,-2.278775510204081,504.04
0.,4,-321.,5,29.9,-2.1987424749163877,1233.44
0.,4,-321.,6,37.1,-2.166010781671159,1533.
0.,4,-321.,7,44.3,-2.1330203160270877,1834.24
0.,4,-321.,8,51.4,-2.100260700389105,2133.32
0.,6,-211.,1,3.1,2.225806451612903,-2.7600000000000002
0.,6,-211.,2,5.05,2.233663366336634,-4.48
0.,6,-211.,3,8.85,2.2497175141242938,-7.88
0.,6,-211.,4,12.25,2.264081632653061,-10.92
0.,6,-211.,5,29.9,2.339745819397993,-26.72
0.,6,-211.,6,37.1,2.370652291105121,-33.2
0.,6,-211.,7,44.3,2.401796839729119,-39.72
0.,6,-211.,8,51.4,2.4327198443579765,-46.160000000000004
0.,7,321.,1,3.1,0.1435483870967742,-1.56
0.,7,321.,2,5.05,0.13861386138613863,-2.52
0.,7,321.,3,8.85,0.12824858757062146,-4.44
0.,7,321.,4,12.25,0.11877551020408163,-6.12
0.,7,321.,5,29.9,0.06947826086956521,-14.96
0.,7,321.,6,37.1,0.049396226415094335,-18.6
0.,7,321.,7,44.3,0.029241534988713316,-22.2
0.,7,321.,8,51.4,0.009260700389105057,-25.8
0.,8,-321.,1,3.1,1.0129032258064516,-8.08
0.,8,-321.,2,5.05,1.0158415841584159,-13.16
0.,8,-321.,3,8.85,1.0214689265536723,-23.080000000000002
0.,8,-321.,4,12.25,1.026938775510204,-31.96
0.,8,-321.,5,29.9,1.0550234113712373,-78.04
0.,8,-321.,6,37.1,1.066463611859838,-96.84
0.,8,-321.,7,44.3,1.0778690744920991,-115.64
0.,8,-321.,8,51.4,1.089190661478599,-134.24
0.,9,321.,1,3.1,0.24838709677419354,-13.4
0.,9,321.,2,5.05,0.24554455445544554,-21.88
0.,9,321.,3,8.85,0.23954802259887006,-38.32
0.,9,321.,4,12.25,0.23387755102040814,-53.04
0.,9,321.,5,29.9,0.2060468227424749,-129.48
0.,9,321.,6,37.1,0.19465229110512128,-160.68
0.,9,321.,7,44.3,0.18327765237020313,-191.92000000000002
0.,9,321.,8,51.4,0.17205058365758755,-222.76
0.,10,-321.,1,3.1,0.056451612903225805,-15.280000000000001
0.,10,-321.,2,5.05,0.06633663366336634,-24.88
0.,10,-321.,3,8.85,0.08870056497175141,-43.64
0.,10,-321.,4,12.25,0.10775510204081631,-60.4
0.,10,-321.,5,29.9,0.20911705685618728,-148.08
0.,10,-321.,6,37.1,0.250921832884097,-184.20000000000002
0.,10,-321.,7,44.3,0.2931060948081264,-220.72
0.,10,-321.,8,51.4,0.3351050583657587,-257.08
0.,13,211.,1,3.1,-2.041935483870968,-24.48
0.,13,211.,2,5.05,-2.0683168316831684,-39.92
0.,13,211.,3,8.85,-2.119774011299435,-70.08
0.,13,211.,4,12.25,-2.1657142857142855,-97.2
0.,13,211.,5,29.9,-2.4130903010033444,-243.08
0.,13,211.,6,37.1,-2.52177358490566,-306.8
0.,13,211.,7,44.3,-2.6370338600451464,-374.8
0.,13,211.,8,51.4,-2.761871595330739,-448.12
0.,14,-211.,1,3.1,0.9064516129032258,-155.96
0.,14,-211.,2,5.05,0.9158415841584159,-254.12
0.,14,-211.,3,8.85,0.9338983050847458,-445.40000000000003
0.,14,-211.,4,12.25,0.9497959183673469,-616.6800000000001
0.,14,-211.,5,29.9,1.0333043478260868,-1509.3600000000001
0.,14,-211.,6,37.1,1.067563342318059,-1876.24
0.,14,-211.,7,44.3,1.102121896162528,-2245.32
0.,14,-211.,8,51.4,1.1363540856031127,-2611.96
0.,16,-211.,1,3.1,-1.3870967741935485,-714.32
0.,16,-211.,2,5.05,-1.3712871287128714,-1163.84
0.,16,-211.,3,8.85,-1.340677966101695,-2040.76
0.,16,-211.,4,12.25,-1.313061224489796,-2826.96
0.,16,-211.,5,29.9,-1.168963210702341,-6957.16
0.,16,-211.,6,37.1,-1.1088948787061994,-8680.04
0.,16,-211.,7,44.3,-1.047706546275395,-10436.08
0.,16,-211.,8,51.4,-0.9857354085603113,-12208.6
0.,19,-321.,1,3.1,-1.4403225806451614,1.04
0.,19,-321.,2,5.05,-1.4386138613861386,1.68
0.,19,-321.,3,8.85,-1.4361581920903956,2.92
0.,19,-321.,4,12.25,-1.433469387755102,4.04
0.,19,-321.,5,29.9,-1.4199264214046823,9.84
0.,19,-321.,6,37.1,-1.4145283018867922,12.24
0.,19,-321.,7,44.3,-1.4090428893905191,14.6
0.,19,-321.,8,51.4,-1.4036575875486381,16.96
0.,20,211.,1,3.1,-1.5612903225806452,0.84
0.,20,211.,2,5.05,-1.5623762376237624,1.32
0.,20,211.,3,8.85,-1.564406779661017,2.36
0.,20,211.,4,12.25,-1.5657142857142856,3.24
0.,20,211.,5,29.9,-1.5735518394648829,7.92
0.,20,211.,6,37.1,-1.5766469002695416,9.84
0.,20,211.,7,44.3,-1.5798871331828441,11.76
0.,20,211.,8,51.4,-1.5829844357976652,13.64
0.,21,-211.,1,3.1,-1.5629032258064517,0.72
0.,21,-211.,2,5.05,-1.5594059405940595,1.16
0.,21,-211.,3,8.85,-1.5542372881355933,2.04
0.,21,-211.,4,12.25,-1.5489795918367346,2.84
0.,21,-211.,5,29.9,-1.5226086956521738,6.96
0.,21,-211.,6,37.1,-1.511854447439353,8.64
0.,21,-211.,7,44.3,-1.5010654627539501,10.32
0.,21,-211.,8,51.4,-1.490443579766537,11.96
0.,22,211.,1,3.1,-1.467741935483871,1.12
0.,22,211.,2,5.05,-1.4712871287128713,1.8
0.,22,211.,3,8.85,-1.4785310734463277,3.16
0.,22,211.,4,12.25,-1.484081632653061,4.36
0.,22,211.,5,29.9,-1.51476254180602,10.64
0.,22,211.,6,37.1,-1.5273423180592989,13.200000000000001
0.,22,211.,7,44.3,-1.5398239277652368,15.76
0.,22,211.,8,51.4,-1.5522256809338522,18.28
0.,23,211.,1,3.1,-1.6741935483870967,0.6
0.,23,211.,2,5.05,-1.683168316831683,1.
0.,23,211.,3,8.85,-1.6988700564971753,1.76
0.,23,211.,4,12.25,-1.713469387755102,2.44
0.,23,211.,5,29.9,-1.788468227424749,6.
0.,23,211.,6,37.1,-1.8194123989218327,7.44
0.,23,211.,7,44.3,-1.8502753950338597,8.88
0.,23,211.,8,51.4,-1.8811789883268482,10.32
0.,24,-211.,1,3.1,-1.5516129032258064,1.72
0.,24,-211.,2,5.05,-1.5465346534653466,2.84
0.,24,-211.,3,8.85,-1.5361581920903955,4.96
0.,24,-211.,4,12.25,-1.52734693877551,6.88
0.,24,-211.,5,29.9,-1.4799665551839465,16.8
0.,24,-211.,6,37.1,-1.4606253369272235,20.84
0.,24,-211.,7,44.3,-1.441277652370203,24.88
0.,24,-211.,8,51.4,-1.422046692607004,28.92
0.,25,-211.,1,3.1,-1.4838709677419355,0.32
0.,25,-211.,2,5.05,-1.4801980198019802,0.48
0.,25,-211.,3,8.85,-1.4728813559322034,0.88
0.,25,-211.,4,12.25,-1.4665306122448978,1.2
0.,25,-211.,5,29.9,-1.431752508361204,2.92
0.,25,-211.,6,37.1,-1.4177358490566037,3.6
0.,25,-211.,7,44.3,-1.4035169300225732,4.32
0.,25,-211.,8,51.4,-1.3896342412451361,5.
0.,26,211.,1,3.1,-1.632258064516129,-0.28
0.,26,211.,2,5.05,-1.6366336633663368,-0.48
0.,26,211.,3,8.85,-1.644632768361582,-0.84
0.,26,211.,4,12.25,-1.6514285714285712,-1.16
0.,26,211.,5,29.9,-1.6874916387959864,-2.8000000000000003
0.,26,211.,6,37.1,-1.7021994609164417,-3.48
0.,26,211.,7,44.3,-1.716884875846501,-4.16
0.,26,211.,8,51.4,-1.7314202334630349,-4.84
0.,27,-211.,1,3.1,-1.5596774193548386,-0.48
0.,27,-211.,2,5.05,-1.5584158415841585,-0.8
0.,27,-211.,3,8.85,-1.5553672316384182,-1.36
0.,27,-211.,4,12.25,-1.5530612244897957,-1.92
0.,27,-211.,5,29.9,-1.5414849498327758,-4.68
0.,27,-211.,6,37.1,-1.5366900269541777,-5.8
0.,27,-211.,7,44.3,-1.5319187358916477,-6.92
0.,27,-211.,8,51.4,-1.5272217898832685,-8.
0.,28,211.,1,3.1,-1.5467741935483872,0.48
0.,28,211.,2,5.05,-1.5504950495049505,0.76
0.,28,211.,3,8.85,-1.5587570621468927,1.32
0.,28,211.,4,12.25,-1.5661224489795917,1.84
0.,28,211.,5,29.9,-1.6044816053511703,4.48
0.,28,211.,6,37.1,-1.6199946091644202,5.5600000000000005
0.,28,211.,7,44.3,-1.6356072234762977,6.6000000000000005
0.,28,211.,8,51.4,-1.6509844357976653,7.68
0.,29,211.,1,3.1,-1.570967741935484,-0.08
0.,29,211.,2,5.05,-1.5742574257425743,-0.12
0.,29,211.,3,8.85,-1.5813559322033899,-0.2
0.,29,211.,4,12.25,-1.5873469387755101,-0.24
0.,29,211.,5,29.9,-1.6194916387959866,-0.6
0.,29,211.,6,37.1,-1.6324582210242586,-0.76
0.,29,211.,7,44.3,-1.6455846501128666,-0.92
0.,29,211.,8,51.4,-1.6584591439688714,-1.04
0.,31,-211.,1,3.1,-0.75,4.4
0.,31,-211.,2,5.05,-0.7227722772277227,7.2
0.,31,-211.,3,8.85,-0.6694915254237288,12.64
0.,31,-211.,4,12.25,-0.6224489795918366,17.52
0.,31,-211.,5,29.9,-0.36785953177257524,43.88
0.,31,-211.,6,37.1,-0.25614555256064686,55.44
0.,31,-211.,7,44.3,-0.1366139954853273,67.8
0.,31,-211.,8,51.4,-0.00588715953307393,81.28
0.,32,211.,1,3.1,1.9919354838709677,8.96
0.,32,211.,2,5.05,1.9712871287128713,14.64
0.,32,211.,3,8.85,1.9310734463276837,25.68
0.,32,211.,4,12.25,1.8959183673469386,35.56
0.,32,211.,5,29.9,1.7071638795986621,88.04
0.,32,211.,6,37.1,1.6273261455525605,110.28
0.,32,211.,7,44.3,1.5445823927765234,133.32
0.,32,211.,8,51.4,1.459089494163424,157.04
0.,33,-211.,1,3.1,1.3725806451612903,4.8
0.,33,-211.,2,5.05,1.399009900990099,7.8
0.,33,-211.,3,8.85,1.451412429378531,13.68
0.,33,-211.,4,12.25,1.4991836734693875,18.96
0.,33,-211.,5,29.9,1.7542408026755851,47.52
0.,33,-211.,6,37.1,1.8663342318059297,60.04
0.,33,-211.,7,44.3,1.9865056433408577,73.48
0.,33,-211.,8,51.4,2.117260700389105,88.08
0.,37,211.,1,3.1,0.7612903225806451,93.12
0.,37,211.,2,5.05,0.7435643564356436,151.76
0.,37,211.,3,8.85,0.707909604519774,266.16
0.,37,211.,4,12.25,0.6767346938775509,368.76
0.,37,211.,5,29.9,0.5106822742474916,909.96
0.,37,211.,6,37.1,0.4410835579514824,1137.3600000000001
0.,37,211.,7,44.3,0.36924153498871326,1370.8
0.,37,211.,8,51.4,0.29640856031128404,1608.48
