PID,E,px,py,pz
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-211.,5.858,-0.264,-5.85,0.084
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,3.199,-1.178,-0.039,2.933
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-321.,27.384,-0.46,-0.481,27.372
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
-211.,0.953,-0.421,0.564,-0.627
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
321.,1.302,1.065,0.164,-0.539
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
-321.,5.296,1.008,1.596,-4.924
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
321.,8.454,1.839,0.476,-8.223
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
-321.,2.693,0.526,0.02,-2.594
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
211.,1.783,-0.093,-0.203,-1.764
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,32.066,0.4,0.496,-32.059
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-211.,85.87,0.059,-0.368,-85.869
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
-321.,4.189,0.505,-3.919,1.302
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
211.,7.058,0.071,-6.821,1.809
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
-211.,2.063,0.007,-2.005,0.466
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,1.839,0.186,-1.718,0.614
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
211.,0.734,-0.064,-0.704,0.141
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.292,0.012,-1.12,0.628
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
-211.,1.545,0.123,-1.526,0.149
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
211.,1.485,-0.082,-1.469,-0.138
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
-211.,4.579,0.043,-4.522,-0.705
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.41,0.043,-1.387,0.207
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
211.,1.663,0.009,-1.657,-0.034
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
-211.,0.404,0.153,-0.155,0.31
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
211.,0.893,-0.126,0.259,0.834
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
-211.,0.423,0.052,0.211,0.335
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,9.777,0.229,0.231,9.771
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,734.237,0.664,0.246,734.236
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
211.,0.437,-0.148,0.263,-0.283
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-211.,3.529,-1.379,2.375,-2.212
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
-321.,1.286,-0.073,0.838,-0.838
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
211.,2.362,-0.286,1.326,-1.928
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
-211.,4.458,0.625,2.244,-3.798
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
211.,2.291,0.39,0.369,-2.223
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
-211.,4.172,0.457,0.862,-4.054
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
211.,1.392,0.639,0.107,-1.224
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
-211.,0.443,0.302,-0.024,-0.291
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
211.,3.278,0.771,0.67,-3.112
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-211.,1.317,0.622,-0.092,-1.149
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-321.,5.604,0.399,0.269,-5.561
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
-211.,0.634,-0.028,-0.615,0.053
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
211.,0.478,-0.327,-0.065,0.312
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
-211.,0.497,-0.358,-0.315,-0.015
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
211.,5.804,-0.512,0.125,5.778
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
-211.,0.969,-0.469,-0.043,-0.835
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,1.186,-0.069,0.577,-1.024
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
211.,3.994,-1.503,3.397,-1.461
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,7.629,-2.653,6.206,-3.554
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
-211.,5.649,-1.856,4.749,-2.428
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,0.38,0.083,0.316,-0.136
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
211.,3.016,0.004,2.717,-1.301
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
-211.,8.426,0.386,7.261,-4.256
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,3.032,0.022,2.289,-1.983
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
211.,0.952,-0.088,0.878,-0.329
