EventID,layer,QID,r,phi,z
0,1,2,3.1,-2.129032258064516,6.44
0,1,1,3.1,0.9145161290322581,16.16
0,2,2,5.05,-2.128712871287129,10.48
0,2,1,5.05,0.9148514851485149,26.32
0,3,2,8.85,-2.128813559322034,18.36
0,3,1,8.85,0.9146892655367233,46.12
0,4,2,12.25,-2.1285714285714286,25.400000000000002
0,4,1,12.25,0.9146938775510203,63.84
0,5,2,29.9,-2.128468227424749,62.08
0,5,1,29.9,0.9147023411371237,155.92000000000002
0,6,2,37.1,-2.1283450134770887,77.04
0,6,1,37.1,0.914609164420485,193.52
0,7,2,44.3,-2.128338600451467,92.04
0,7,1,44.3,0.9144695259593678,231.08
0,8,2,51.4,-2.1282412451361865,106.8
0,8,1,51.4,0.9144280155642023,268.16
1,1,1,3.1,0.782258064516129,-1.32
1,1,2,3.1,-2.4274193548387095,-0.68
1,2,1,5.05,0.7821782178217822,-2.12
1,2,2,5.05,-2.4277227722772277,-1.12
1,3,1,8.85,0.7824858757062148,-3.72
1,3,2,8.85,-2.4271186440677965,-1.92
1,4,1,12.25,0.7824489795918367,-5.16
1,4,2,12.25,-2.4273469387755098,-2.68
1,5,1,29.9,0.7823411371237458,-12.56
1,5,2,29.9,-2.427076923076923,-6.5200000000000005
1,6,1,37.1,0.7822749326145552,-15.6
1,6,2,37.1,-2.4271051212938004,-8.120000000000001
1,7,1,44.3,0.7822302483069976,-18.64
1,7,2,44.3,-2.427047404063205,-9.68
1,8,1,51.4,0.7821984435797665,-21.64
1,8,2,51.4,-2.426964980544747,-11.24
2,1,1,3.1,-0.2161290322580645,-1.6400000000000001
2,1,2,3.1,2.958064516129032,-1.48
2,2,1,5.05,-0.21584158415841584,-2.64
2,2,2,5.05,2.9574257425742574,-2.44
2,3,1,8.85,-0.21638418079096047,-4.64
2,3,2,8.85,2.957627118644068,-4.28
2,4,1,12.25,-0.21632653061224488,-6.44
2,4,2,12.25,2.957551020408163,-5.92
2,5,1,29.9,-0.21639464882943144,-15.68
2,5,2,29.9,2.9577725752508357,-14.44
2,6,1,37.1,-0.21646361185983826,-19.48
2,6,2,37.1,2.9578167115902962,-17.92
2,7,1,44.3,-0.21643340857787807,-23.240000000000002
2,7,2,44.3,2.957846501128668,-21.400000000000002
2,8,1,51.4,-0.2165019455252918,-27.
2,8,2,51.4,2.9578677042801553,-24.84
3,1,2,3.1,-1.2580645161290323,-10.32
3,1,1,3.1,1.9580645161290322,-1.84
3,2,2,5.05,-1.2584158415841584,-16.8
3,2,1,5.05,1.9574257425742574,-3.
3,3,2,8.85,-1.2581920903954802,-29.44
3,3,1,8.85,1.957627118644068,-5.28
3,4,2,12.25,-1.2579591836734694,-40.76
3,4,1,12.25,1.957551020408163,-7.28
3,5,2,29.9,-1.257772575250836,-99.52
3,5,1,29.9,1.9574448160535116,-17.8
3,6,2,37.1,-1.2577250673854445,-123.52
3,6,1,37.1,1.9573369272237193,-22.12
3,7,2,44.3,-1.2576930022573363,-147.48
3,7,1,44.3,1.9573408577878102,-26.400000000000002
3,8,2,51.4,-1.2576031128404668,-171.16
3,8,1,51.4,1.9573151750972761,-30.64
4,1,2,3.1,-2.053225806451613,-4.96
4,1,1,3.1,1.8774193548387097,-2.2800000000000002
4,2,2,5.05,-2.0524752475247525,-8.08
4,2,1,5.05,1.8772277227722773,-3.72
4,3,2,8.85,-2.0531073446327683,-14.16
4,3,1,8.85,1.877401129943503,-6.5200000000000005
4,4,2,12.25,-2.0530612244897957,-19.6
4,4,1,12.25,1.8775510204081631,-9.040000000000001
4,5,2,29.9,-2.053076923076923,-47.88
4,5,1,29.9,1.8778461538461537,-22.080000000000002
4,6,2,37.1,-2.053196765498652,-59.4
4,6,1,37.1,1.878064690026954,-27.44
4,7,2,44.3,-2.053200902934537,-70.96000000000001
4,7,1,44.3,1.8782889390519186,-32.8
4,8,2,51.4,-2.0532957198443578,-82.36
4,8,1,51.4,1.878533073929961,-38.12
5,1,2,3.1,-1.696774193548387,12.24
5,1,1,3.1,1.835483870967742,27.080000000000002
5,2,2,5.05,-1.697029702970297,19.96
5,2,1,5.05,1.8356435643564357,44.12
5,3,2,8.85,-1.6977401129943503,34.96
5,3,1,8.85,1.835593220338983,77.32000000000001
5,4,2,12.25,-1.6975510204081632,48.44
5,4,1,12.25,1.8355102040816325,107.04
5,5,2,29.9,-1.697612040133779,118.56
5,5,1,29.9,1.835658862876254,261.48
