QID,E,px,py,pz
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
2,924.68,-178.94,-286.71,700.58
1,1786.09,197.04,256.09,1683.96
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,615.9,235.12,233.8,-139.26
2,620.27,-270.96,-234.91,-78.29
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
1,739.63,471.42,-103.53,-253.17
2,706.72,-442.25,82.33,-217.01
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,1277.45,104.12,-321.98,-1125.78
1,775.24,-192.03,471.47,-303.05
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,706.24,-122.59,-234.28,-422.91
1,558.4,-60.39,191.01,-147.24
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
2,854.74,-21.52,-168.94,671.99
1,1752.41,-50.04,184.44,1668.66
1,566.68,-186.18,154.48,112.25
2,676.12,198.55,-210.16,351.49
1,566.68,-186.18,154.48,112.25
2,676.12,198.55,-210.16,351.49
1,566.68,-186.18,154.48,112.25
2,676.12,198.55,-210.16,351.49
1,566.68,-186.18,154.48,112.25
2,676.12,198.55,-210.16,351.49
1,566.68,-186.18,154.48,112.25
